1372.74169921875+0i,0.717595248720135+0i
1375.43334960938+0i,0.734127581726192+0i
1378.125+0i,0.75258425139431+0i
1380.81665039062+0i,0.795919078635813+0i
1383.50830078125+0i,0.825031009419805+0i
1386.19995117188+0i,0.814645504453609+0i
1388.8916015625+0i,0.785540286153657+0i
1391.58325195312+0i,0.735741328712635+0i
1394.27490234375+0i,0.705455713732508+0i
1396.96655273438+0i,0.680906189786572+0i
1399.658203125+0i,0.658347068106314+0i
1402.34985351562+0i,0.626959873137613+0i
1405.04150390625+0i,0.582790018986903+0i
1407.73315429688+0i,0.574810117735683+0i
1410.4248046875+0i,0.576206244775391+0i
1413.11645507812+0i,0.578920562061571+0i
1415.80810546875+0i,0.589803899622678+0i
1418.49975585938+0i,0.591307320509534+0i
1421.19140625+0i,0.585054615849459+0i
1423.88305664062+0i,0.58774732298112+0i
1426.57470703125+0i,0.608307642297207+0i
1429.26635742188+0i,0.593950057615039+0i
1431.9580078125+0i,0.596800315604227+0i
1434.64965820312+0i,0.595685471841001+0i
1437.34130859375+0i,0.606260601343243+0i
1440.03295898438+0i,0.616954745896705+0i
1442.724609375+0i,0.634599315629218+0i
1445.41625976562+0i,0.654752019926703+0i
1448.10791015625+0i,0.655457081300789+0i
1450.79956054688+0i,0.663251851341385+0i
1453.4912109375+0i,0.658618544720226+0i
1456.18286132812+0i,0.670357794944474+0i
1458.87451171875+0i,0.654887068058824+0i
